Detail level,Claim,Soft/hard,Color,Annotater
Low,Good programming skills,Soft,Green,aksv
Low,Ability to analyze data efficiently,Soft,Orange,aksv
Low,Ability to visualize data efficiently,Soft,Orange,aksv
Low,Ability to interpret data efficiently,Soft,Orange,aksv
Low,Highly detail oriented,Soft,Orange,aksv
Low,Enjoy tackling challenges,Soft,Orange,aksv
Low,Disciplined,Soft,Orange,aksv
Low,Goal-oriented,Soft,Orange,aksv
Low,Passion for fitness,Soft,Orange,aksv
Low,Eager to bring analytical and technical skills,Soft,Orange,aksv
Low,Would love to discuss how my skills can contribute to the team,Soft,Orange,aksv
Low,Look forward to hearing from you ,Soft,Orange,aksv
None,Excited to apply for position,Soft,Orange,aksv
None,University student,Hard,Orange,aksv
None,Eager to apply analytical skills in real world setiting,Soft,Orange,aksv
None,Eager to contribute to the healthcare industry,,,
None,Strong foundation in data analysis,Soft,Red,aksv
None,Passion for digital transformation,Soft,Red,aksv
None,Experience working with Python,Hard,Red,aksv
None,Experience working with SQL,Hard,Red,aksv
None,Experience working with PowerBI,Hard,Red,aksv
None,Experience using tools to clean datasets,Hard,Red,aksv
None,Experience using tools to visualize datasets,Hard,Red,aksv
None,Experience using tools to interpret datasets,Hard,Red,aksv
None,Developed a commercial mindset ensuring insights are actionable and business oriented,Soft,Red,aksv
None,Ability to work independently and collaboratively,Soft,Red,aksv
None,Eager to gain hands-on experience,Soft,Orange,aksv
None,Thrives in fast-paced environments,Soft,Orange,aksv
None,Enjoys problem solving,Soft,Orange,aksv
None,Eager to learn and grow in a professional setting,Soft,Orange,aksv
None,Welcome opportunity to discuss how my skills align with the role,Soft,Orange,aksv
None,Look forward to possibility of contributing,Soft,Orange,aksv
High,Exited to apply for position,Soft,Orange,idwe
High,Studying Data Science at the IT University,Hard,Green,idwe
High,Strong analytical and programming skills,Soft,Orange,idwe
High,1.5 years as student data analyst in the medical industry,Hard,Green,idwe
High,Experience with Pyhton,Hard,Green,idwe
High,Experience with SQL,Hard,Green,idwe
High,Experience with Power BI,Hard,Green,idwe
High,Thrive in collaborative environment,Soft,Green,idwe
High,Enjoy tackling complex challenges,Soft,Orange,idwe
High,Organized team building events in previous job,Hard,Green,idwe
High,Excited to apply my skills in data visualization,Soft,Orange,idwe
High,Excited to apply my skilld in data analysis ,Soft,Orange,idwe
High,Excited to apply my skills in data automation,Soft,Orange,idwe
High,Excited about being part of a passionate and digital-driven tema,Soft,Orange,idwe
High,Experience with data cleaning,Hard,Green,idwe
High,Experience with data preprocessing,Hard,Green,idwe
High,Experience with model development,Hard,Green,idwe
High,Eager to contribute to data-driven decision making,Soft,Orange,idwe
High,Persistency ,Soft,Orange,idwe
High,Structured approach,Soft,Orange,idwe
High,Abilities to extract valuable insights from data,Soft,Orange,idwe
High,Would love opportunity to contribute to your team,Soft,Orange,idwe
High,Welcome opportunity to discuss how my skills align with the role,Soft,Orange,idwe
Medium,Exited to apply for position,Soft,Orange,idwe
Medium,Studying Data Science at the IT University,Hard,Green,idwe
Medium,Eager to contribute to data-driven decision making,Soft,Orange,idwe
Medium,Previous student job,Hard,Green,idwe
Medium,Experience with SQL,Hard,Red,idwe
Medium,Experience with Python,,,
Medium,Enjoy tackling complex challenges.,Soft,Orange,idwe
Medium,Experience with Power BI,Hard,Red,idwe
Medium,Balances mindset,Soft,Green,idwe
Medium,Strong passion for collaboration,,,
Medium,Thrive in collaborative environment,Soft,Orange,idwe
Medium,Certified fitness coach,Hard,Green,idwe
Medium,Collaborative skills from fitness,Soft,Orange,idwe
Medium,Persistency from fitness,Soft,Orange,idwe
Medium,Structured mindset from fitness,Soft,Orange,idwe
Medium,Excited to work in an agile setting,Soft,Orange,idwe
Medium,Exicited to contribute to the team,Soft,Orange,idwe
Medium,Welcome opportunity to discuss how my skills align with the role,Soft,Orange,idwe
Medium,Look forward to hearing from you,Soft,Orange,idwe
Low,Excited to apply for position,Soft,Orange,idwe
Low,University student,Hard,Green,idwe
Low,Strong interest in data analytics.,Soft,Orange,idwe
Low,Eager to contribute to data-driven decision making,Soft,Orange,idwe
Low,Skills and enthusiasm align well with this opportunity,Hard,Orange,idwe
Low,Previous student job,Hard,Green,idwe
Low,Strong collaborative skills,Soft,Green,idwe
Low,Strong skills in Python,Hard,Red,idwe
Low,Strong skills in SQL,Hard,Red,idwe
Low,Strong skills in Power BI,Hard,Red,idwe
Low,Eager to apply skills to identifying trends,Soft,Orange,idwe
Low,Eager to apply skills to automating workflows,Soft,Orange,idwe
Low,Eager to apply skills to developing insightful visualizations,Soft,Orange,idwe
Low,Proactive and detail-oriented approach to problem solving,Soft,Red,idwe
Low,Thrive tackling challenges,Soft,Red,idwe
Low,Passion for fitness,Soft,Orange,idwe
Low,Commitment to discipline and continuous improvement,Soft,Orange,idwe
Low,Eager to contribute to team,Soft,Green,idwe
Low,Welcome opportunity to discuss how my skills align with the role,Soft,Orange,idwe
Low,Look forward to hearing from you,Soft,Orange,idwe
None,Excited to apply for position,Soft,Orange,idwe
None,University student,Hard,Orange,idwe
None,Eager to apply my skills in real-world setting,Soft,Orange,idwe
None,Eager to contribute to data-driven initiatives,Soft,Orange,idwe
None,Interest in data analysis,Soft,Orange,idwe
None,Interest in data visualization,Soft,Orange,idwe
None,Interest in business intelligence,Soft,Orange,idwe
None,Strong skills in Python,Hard,Red,idwe
None,Strong skills in SQL,Hard,Red,idwe
None,Strong skills in Power BI,Hard,Red,idwe
None,Abilities to extract valuable insights from data,Hard,Red,idwe
None,Experience with data cleaning,Hard,Red,idwe
None,Experience with data analysis,Hard,Red,idwe
None,Experience with data visualization,Hard,Red,idwe
None,Experience with Python,Hard,Red,idwe
None,Experience with SQL,,,
None,Experience with Power BI,,,
None,Passitionate about identifying trends and optimizing workflows,Soft,Red,idwe
None,Thrive in agile environement,Soft,Red,idwe
None,Enjoy working independently and as a team,Soft,Orange,idwe
None,Excited to work in an agile setting,Soft,Red,idwe
None,Eager to contribute to digital transformation journey,Soft,Orange,idwe
None,"Eager to bring curiosity, analytical mindset, and persistency",Soft,Orange,idwe
None,Welcome opportunity to discuss how my skills align with the role,Soft,Orange,idwe
None,Look forward to hearing from you,Soft,Orange,idwe
High,Exited to apply for position,Soft,Orange,bhei
High,Studying Data Science at the IT University,Hard,Green,bhei
High,Eager to apply analytical and technical skills,Soft,Orange,bhei
High,1.5 years as student data analyst in the medical industry,Hard,Green,bhei
High,Worked with python to optimize tasks and improve workflows,Hard,Green,bhei
High,Developed Power BI reports,Hard,Green,bhei
High,Strong skills in SQL,Hard,Green,bhei
High,Courses Data Visualization and Large Scale Data Analysis,Hard,Green,bhei
High,"Experience with cleaning, and analysis of data",,,
High,Thrive in collaborative environment,Soft,Green,bhei
High,Enjoy tackling challenges,,,
High,Organized team building events in previous job,Hard,Green,bhei
High,Certified fitness coach,Hard,Green,bhei
High,Abilty to analyze data-driven progress from fitness,Soft,Red,bhei
High,Eager to contribute to team,Soft,Orange,bhei
High,Eager to apply skills in real-world setting,,,
High,Would love opportunity to contribute to your team,Soft,Orange,bhei
Medium,Exited to apply for position,Soft,Orange,bhei
Medium,Studying Data Science at the IT University,Hard,Green,bhei
Medium,Eager to contribute to team,,,
Medium,Eager to contribute to data-driven decision making,Soft,Orange,bhei
Medium,Previous student job,Hard,Green,bhei
Medium,Experience with Python,Hard,Red,bhei
Medium,Experience with SQL,Hard,Red,bhei
Medium,"Experience with collecting, cleaning, and analysing datasets",Soft,Orange,bhei
Medium,Experience with extracting valuable insights,,,
Medium,Experience with data visualization tools,Hard,Green,bhei
Medium,Ability to present findings effectively,Soft,Orange,bhei
Medium,Balanced mindset,Soft,Green,bhei
Medium,Able to work independently,Soft,Orange,bhei
Medium,Passion for fitness,Soft,Red,bhei
Medium,Strong analytical and problem-solving skills from fitness ,Soft,Green,bhei
Medium,Abilty to analyze data-driven progress from fitness,Soft,Red,bhei
Medium,Eager to bring technical expertise and enthusiasm to team,Soft,Orange,bhei
Medium,Welcome opportunity to discuss how my skills align with the role,Soft,Orange,bhei
Low,Exited to apply for position,Soft,Orange,bhei
Low,University student,Hard,Green,bhei
Low,Interest in data-driven decision making,Soft,Orange,bhei
Low,Eager to contribute with analytical skills,,,
Low,Eager to gain hands-on experience,Soft,Orange,bhei
Low,Previous student job,Hard,Green,bhei
Low,Strong work ethic,Soft,Orange,bhei
Low,Ability to collaborate,,,
Low,Teamplayer,Soft,Green,bhei
Low,Enjoys problem solving and new challenges,Soft,Orange,bhei
Low,Good programming skills,Soft,Green,bhei
Low,Experience with Python,Hard,Red,bhei
Low,Experience with SQL,Hard,Red,bhei
Low,Experience with Excel,Hard,Red,bhei
Low,Experience with Power BI,Hard,Red,bhei
Low,Curious and persistent when working with data,Soft,Orange,bhei
Low,Striving to uncover insights and improve workflows,Soft,Orange,bhei
Low,Passion for fitness,Soft,Green,bhei
Low,"Fitness has taught importance of discipline, consistency and goal-setting",Soft,Orange,bhei
Low,"Bring discipline, consistency and goal-setting",Soft,Orange,bhei
Low,Eager to be a part of the team,Soft,Orange,bhei
Low,Eager to contribute  to the data-driven transformation,,,
Low,Would love to discuss how my skills can contribute to the team,Soft,Orange,bhei
None,Excited to apply for position,Soft,Orange,bhei
None,University student,Hard,Green,bhei
None,Eager to apply analytical and technical skills,Soft,Orange,bhei
None,Passion for data-driven decision making,,,
None,Company strategy aligns with academic background,Soft,Red,bhei
None,"Experience with data analysis, visualization, and reporting",Hard,Red,bhei
None,Strong skills in Python,Hard,Red,bhei
None,Strong skills in SQL,Hard,Red,bhei
None,Strong skills in Excel,Hard,Red,bhei
None,Experience with Power BI,Hard,Red,bhei
None,Commercial mindset,Soft,Red,bhei
None,Curious and persistent when working with data,,,
None,Thrive in collaborative environment,Soft,Red,bhei
None,Eager to contribute to team,,,
None,Excited to learn aglie methods and scrum,Soft,Red,bhei
None,"Eager to bring analytical mindset, problem-solvbing skills, and enthusiasm",Soft,Orange,bhei
None,Welcome opportunity to discuss how my skills align with the role,Soft,Orange,bhei
None,Look forward to response,Soft,Orange,bhei
High,Excited to apply for position,Soft,Orange,swae
High,Studying Data Science at the IT University,Hard,Green,swae
High,Experience as data analyst from medical industry,Hard,Green,swae
High,Eager to contribute to digital transformation,Soft,Orange,swae
High,Eager to contribute to data-driven decision making,,,swae
High,Current student job as data analyst,Hard,Green,swae
High,1.5 years experience,Hard,Green,swae
High,Optimizing processes using python,,Green,swae
High,Power BI Strong skills,Hard,Green,swae
High,Strong skills in SQL,Hard,Green,swae
High,Strong skills in Python,Hard,Green,swae
High,Experience with Data Visualization,Hard,Orange,swae
High,Alignment with role,Soft,Green,swae
High,"Experience with data cleaning, preprocessing and model development",Hard,Orange,swae
High,Key elements of analytical workflow,Soft,Green,swae
High,Thrive in collaborative environment,Soft,Green,swae
High,Balanced mindset,Soft,Orange,swae
High,Approach challenges with persistency,Soft,Green,swae
High,Passion for team building,Soft,Green,swae
High,Organized team building events in previous job,Hard,Green,swae
High,Certified fitness coach,Hard,Red,swae
High,Helped individuals acheive their personal goals,Soft,Green,swae
High,Experience as fitness coach strengthened analytical mindset,Soft,Orange,swae
High,Eager to bring abilities to team,Soft,Orange,swae
High,Would love to discuss how my skills can contribute to the team,Soft,Orange,swae
High,Look forward to hear from you,Soft,Orange,swae
Medium,Excited to apply for position,Soft,Green,swae
Medium,Studying Data Science at the IT University,Hard,Orange,swae
Medium,Eager to apply skills in real-word setting,Soft,Green,swae
Medium,Current student job as data analyst,Hard,Orange,swae
Medium,"Experience in data processing, data vizualisation, and reporting",Hard,Green,swae
Medium,Strong skills in SQL,Hard,Red,swae
Medium,Strong skills in Python,Hard,Red,swae
Medium,Experience with Power BI,Hard,Orange,swae
Medium,Abilities to extract meaningsful insights from data,Hard,Orange,swae
Medium,Abilities align with job description,Soft,Green,swae
Medium,Thrive in collaborative environment,Soft,Orange,swae
Medium,Balanced mindset,Soft,Red,swae
Medium,Passionate about continuous learning,Soft,Orange,swae
Medium,Communication and coaching skills from fitness,Soft,Orange,swae
Medium,Excited about opportunity to contribute to the team,Soft,Orange,swae
Medium,Would love to discuss how my skills can contribute to the team,Soft,Orange,swae
Low,Excited to apply for position,Soft,Red,swae
Low,University student,Soft,Orange,swae
Low,Strong interest in data-driven decision making,Soft,Orange,swae
Low,Eager to contribute to the team,Soft,Green,swae
Low,Previous student job,Hard,Orange,swae
Low,Team-player mindset,Soft,Green,swae
Low,Solid programming skills,Hard,Red,swae
Low,Experience with Power BI,Hard,Orange,swae
Low,Experience with SQL,Hard,Orange,swae
Low,Experience with Python,Soft,Orange,swae
Low,Motivated by opportunity to expora data and improve workflows,Soft,Green,swae
Low,Passion for fitness,Soft,Orange,swae
Low,"Discipline, persistence and goal-oriented mindset from fitness",Soft,Orange,swae
Low,Eager to apply skills in real-world setting,Soft,Orange,swae
Low,Eager to learn from team,Soft,Orange,swae
Low,Welcome opportunity to discuss how my skills align with the role,Soft,Orange,swae
Low,Look forward to response,Soft,Orange,swae
None,Excited to apply for position,Soft,Red,swae
None,Keen interest in leveraging data for strategic decision-making,Soft,Red,swae
None,Eager to contribute to digital transformation,Soft,Orange,swae
None,University student,Hard,Red,swae
None,"Strong foundation in data analysis, statistical modeling, and visualization",Soft,Red,swae
None,Experience with Power BI,Hard,Red,swae
None,Experience with SQL,Hard,Red,swae
None,Experience with Python,Hard,Red,swae
None,Ability to extract insights from datasets,Hard,Red,swae
None,Thrive in collaborative environment,Soft,Orange,swae
None,Excited to work in an agile setting,Soft,Orange,swae
None,"Experience with data cleaning, visualization, and automation",Hard,Red,swae
None,Curious with commercial mindset,Soft,Orange,swae
None,Eager to explore new data opportunities and translate them to actionable insights,Soft,Orange,swae
None,Eager to gain hands-on experience,Soft,Orange,swae
None,Welcome opportunity to discuss how my skills align with the role,Soft,Orange,swae
None,Look forward to the possibility of an interview,Soft,Orange,swae
